Full_name	Short_name	Origin
KEGG_N_GLYCAN_BIOSYNTHESIS	N-Glycan synthesis	
KEGG_OTHER_GLYCAN_DEGRADATION	Glycan degradation	
KEGG_O_GLYCAN_BIOSYNTHESIS	O-Glycan synthesis	
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	Glycosaminoglycan degradation	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	Glycosaminoglycan synthesis	
KEGG_GLYCEROLIPID_METABOLISM	Glycerolipid metabolism	
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	Glycophosphatidylinositol GPI anchor syntesis	
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	Glycerophospholipid metabolism	
KEGG_ETHER_LIPID_METABOLISM	Ether lipid metabolism	
KEGG_ARACHIDONIC_ACID_METABOLISM	Arachidonic acid metabolism	
KEGG_LINOLEIC_ACID_METABOLISM	Linoleic acid metabolism	
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	Alpha linolenic acid metabolism	
KEGG_SPHINGOLIPID_METABOLISM	Sphingolipid metabolism	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	Glycosphingolipid synthesis_1	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	Glycosphingolipid synthesis_2	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	Glycosphingolipid synthesis_3	
KEGG_RIBOFLAVIN_METABOLISM	Riboflavin metabolism	
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	Nicotinate and nicotinamide metabolism	
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	Pantothenate and COA metabolism	
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	Aminoacyl-tRNA synthesis	
KEGG_BASAL_TRANSCRIPTION_FACTORS	Basal transcription factors	
KEGG_NON_HOMOLOGOUS_END_JOINING	Non-homologous end joining	
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	Vesicular transport	
KEGG_LYSOSOME	Lysososme	
KEGG_CARDIAC_MUSCLE_CONTRACTION	Cardiac muscle contraction	
KEGG_RENIN_ANGIOTENSIN_SYSTEM	Renin-angiotensin system	
KEGG_CIRCADIAN_RHYTHM_MAMMAL	Circadian rhythm mammal	
KEGG_TASTE_TRANSDUCTION	Taste transduction	
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	Bicarbonate recovery proximal tubule	
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	Ecoli infection	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	Lupus erythematosus	
KEGG_PRIMARY_IMMUNODEFICIENCY	Primary immunodeficiency	
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	Hypertrophic cardiomyopathy	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	Arrhythmogenic cardiomyopathy	
KEGG_DILATED_CARDIOMYOPATHY	Dilated cardiomyopathy	
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	Glycolisis and gluconeogenesis	
KEGG_CITRATE_CYCLE_TCA_CYCLE	TCA cycle	
KEGG_PENTOSE_PHOSPHATE_PATHWAY	Pentose phosphate pathway	
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	Pentose-glucunorate interconversion	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	Fructose and mannose	
KEGG_GALACTOSE_METABOLISM	Galactose	
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	Ascorbate and aldarate	
KEGG_FATTY_ACID_METABOLISM	Fatty acid metabolism_1	
KEGG_STEROID_BIOSYNTHESIS	Steroid synthesis	
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	Primary bile acid synthesis	
KEGG_STEROID_HORMONE_BIOSYNTHESIS	Steroid hormone synthesis	
KEGG_OXIDATIVE_PHOSPHORYLATION	Oxidative phosphorylation_1	
KEGG_PURINE_METABOLISM	Purine	
KEGG_PYRIMIDINE_METABOLISM	Pyrimidine	
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	Alanine, aspartate, glutamate	
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	Serine and threonine	
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	Cysteine and methionine	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	Valine, leucine, isoleucine degradation	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	Valine, leucine, isoleucine synthesis	
KEGG_LYSINE_DEGRADATION	Lysine degradation	
KEGG_ARGININE_AND_PROLINE_METABOLISM	Arginine and proline	
KEGG_HISTIDINE_METABOLISM	Histidine	
KEGG_TYROSINE_METABOLISM	Tyrosine	
KEGG_PHENYLALANINE_METABOLISM	Phenylalanine	
KEGG_TRYPTOPHAN_METABOLISM	Tryptophan	
KEGG_BETA_ALANINE_METABOLISM	Beta-alanine	
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	Taurine and hypotaurine	
KEGG_SELENOAMINO_ACID_METABOLISM	Selenoaminoacid	
KEGG_GLUTATHIONE_METABOLISM	Glutathione	
KEGG_STARCH_AND_SUCROSE_METABOLISM	Starch and sucrose	
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	Amino sugar and nucleotide sugar	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	Glycosaminoglycan synthesis_1	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	Glycosaminoglycan synthesis_2	
KEGG_INOSITOL_PHOSPHATE_METABOLISM	Inositol phosphate	
KEGG_PYRUVATE_METABOLISM	Pyruvate	
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	Glyoxilate and dycarboxylate	
KEGG_PROPANOATE_METABOLISM	Propanoate	
KEGG_BUTANOATE_METABOLISM	Butanoate	
KEGG_ONE_CARBON_POOL_BY_FOLATE	One-carbon pool by folate	
KEGG_FOLATE_BIOSYNTHESIS	Folate synthesis	
KEGG_RETINOL_METABOLISM	Retinol	
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	Porphyrin and chlorophyll	
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	Terpenoid backbone synthesis	
KEGG_LIMONENE_AND_PINENE_DEGRADATION	Limonene and pinene degradation	
KEGG_NITROGEN_METABOLISM	Nitrogen metabolism	
KEGG_SULFUR_METABOLISM	Sulfur metabolism	
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	Metabolism xenobiotics P450	
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	Drug metabolism P450	
