battle_tgfb_mf_Spp1;battle_tgfb_mf_C1Q;battle_tgfb_caf_spp1;battle_tgfb_caf_Pdgfra;battle_tgfb_caf_Lrrc15_Fibroblasts;battle_tcell_gzmk_cd8;battle_tcell_effector_cd8;battle_tcell_term_diff_cd8
Arg1;C1qa;Mgp;Saa3;Col12a1;Ccl5;Nr4a2;Capg
Spp1;C1qc;Spp1;Cxcl9;Postn;Gzmk;AY036118;Gm156
Ccl24;C1qb;Serpine2;C3;Col1a1;Epsti1;Gm42418;Tnfrsf9
Fabp5;Ms4a7;Lpl;Col6a5;Crabp1;Ms4a6b;Dennd4a;Tigit
Hilpda;Axl;Ank;Cxcl10;H19;Trbv12-1;Lars2;Ccl4
Fn1;Tgfbr1;Col8a1;Igf1;Col1a2;Cxcr3;Stat3;Ccl3
Adam8;Cd72;Ltbp2;Igfbp4;Col7a1;Ifi27l2a;Rgs1;Pdcd1
F10;Cd81;Itgb5;Hp;Cthrc1;Itga4;Fosl2;Gzma
Vegfa;Cd63;Slc20a1;Ly6a;Thbs2;S100a10;Aes;Cxcr6
Emp1;Ntpcr;Sema7a;Ifitm1;Lrrc15;Ly6c2;Dgat1;Prf1
;;;Aoc1;;Laptm5;Gnas;Litaf
;;;Dpt;;Gm30054;Dusp5;Cst7
;;;C1s1;;S100a6;Gm47015;Cd8a
;;;Ccl19;;Ms4a4b;Pfn1;Bhlhe40
;;;Fth1;;Gimap7;Il21r;Lat2
;;;Hsd11b1;;;Arf5;
;;;;;;Ctla4;
;;;;;;Ikzf2;
;;;;;;Itgav;
;;;;;;Malat1;
;;;;;;Jund;
;;;;;;Hnrnph1;
